No PTT port
decay = 1.444046e-05
samples per bit = 40.000
Filter for de-emphasis of 3dB is not availabe, using 6dB
Available filter length 40
Available filter length 80
Filter length 32 not supported, using length 80
Callsign in test packet is: kk6bqj
Trying to decode packets from <./audio/nonOfficialRecordings/ot3testwnoise4800Mono1Packet.wav>
Audio rate is 48000, 1 channels, 2 bytes per frame, 16 bits per sample
8477 1 -Switched Freq from f_2200 to: f_1200
8547 2 -Switched Freq from f_1200 to: f_2200
8583 1 -Switched Freq from f_2200 to: f_1200
8631 1 -Switched Freq from f_1200 to: f_2200
8716 2 -Switched Freq from f_2200 to: f_1200
8788 2 -Switched Freq from f_1200 to: f_2200
8917 3 -Switched Freq from f_2200 to: f_1200
8985 2 -Switched Freq from f_1200 to: f_2200
9068 2 -Switched Freq from f_2200 to: f_1200
9223 4 -Switched Freq from f_1200 to: f_2200
9303 2 -Switched Freq from f_2200 to: f_1200
9430 3 -Switched Freq from f_1200 to: f_2200
9561 3 -Switched Freq from f_2200 to: f_1200
9590 1 -Switched Freq from f_1200 to: f_2200
9628 1 -Switched Freq from f_2200 to: f_1200
9675 1 -Switched Freq from f_1200 to: f_2200
9715 1 -Switched Freq from f_2200 to: f_1200
9867 4 -Switched Freq from f_1200 to: f_2200
9993 3 -Switched Freq from f_2200 to: f_1200
10027 1 -Switched Freq from f_1200 to: f_2200
10182 4 -Switched Freq from f_2200 to: f_1200
10230 1 -Switched Freq from f_1200 to: f_2200
10267 1 -Switched Freq from f_2200 to: f_1200
10314 1 -Switched Freq from f_1200 to: f_2200
10353 1 -Switched Freq from f_2200 to: f_1200
10386 1 -Switched Freq from f_1200 to: f_2200
10469 2 -Switched Freq from f_2200 to: f_1200
10502 1 -Switched Freq from f_1200 to: f_2200
10721 5 -Switched Freq from f_2200 to: f_1200
10831 3 -Switched Freq from f_1200 to: f_2200
10885 1 -Switched Freq from f_2200 to: f_1200
10982 2 -Switched Freq from f_1200 to: f_2200
11154 4 -Switched Freq from f_2200 to: f_1200
11225 2 -Switched Freq from f_1200 to: f_2200
11305 2 -Switched Freq from f_2200 to: f_1200
11352 1 -Switched Freq from f_1200 to: f_2200
11467 3 -Switched Freq from f_2200 to: f_1200
11511 1 -Switched Freq from f_1200 to: f_2200
11581 2 -Switched Freq from f_2200 to: f_1200
11629 1 -Switched Freq from f_1200 to: f_2200
11787 4 -Switched Freq from f_2200 to: f_1200
11833 1 -Switched Freq from f_1200 to: f_2200
11874 1 -Switched Freq from f_2200 to: f_1200
11904 1 -Switched Freq from f_1200 to: f_2200
11960 1 -Switched Freq from f_2200 to: f_1200
11989 1 -Switched Freq from f_1200 to: f_2200
12071 2 -Switched Freq from f_2200 to: f_1200
12116 1 -Switched Freq from f_1200 to: f_2200
12161 1 -Switched Freq from f_2200 to: f_1200
12188 1 -Switched Freq from f_1200 to: f_2200
12274 2 -Switched Freq from f_2200 to: f_1200
12425 4 -Switched Freq from f_1200 to: f_2200
12480 1 -Switched Freq from f_2200 to: f_1200
12509 1 -Switched Freq from f_1200 to: f_2200
12547 1 -Switched Freq from f_2200 to: f_1200
12632 2 -Switched Freq from f_1200 to: f_2200
12746 3 -Switched Freq from f_2200 to: f_1200
12831 2 -Switched Freq from f_1200 to: f_2200
12900 2 -Switched Freq from f_2200 to: f_1200
12949 1 -Switched Freq from f_1200 to: f_2200
13079 3 -Switched Freq from f_2200 to: f_1200
13109 1 -Switched Freq from f_1200 to: f_2200
13144 1 -Switched Freq from f_2200 to: f_1200
