No PTT port
decay = 1.444046e-05
samples per bit = 40.000
Filter for de-emphasis of 3dB is not availabe, using 6dB
Available filter length 40
Available filter length 80
Filter length 32 not supported, using length 80
Callsign in test packet is: kk6bqj
Trying to decode packets from <./audio/nonOfficialRecordings/ot3testwnoise4800Mono1Packet.wav>
Audio rate is 48000, 1 channels, 2 bytes per frame, 16 bits per sample
38020 5 -Switched Freq from f_1200 to: f_2200
38076 1 -Switched Freq from f_2200 to: f_1200
38104 1 -Switched Freq from f_1200 to: f_2200
38141 1 -Switched Freq from f_2200 to: f_1200
38189 1 -Switched Freq from f_1200 to: f_2200
38227 1 -Switched Freq from f_2200 to: f_1200
38312 2 -Switched Freq from f_1200 to: f_2200
38353 1 -Switched Freq from f_2200 to: f_1200
38385 1 -Switched Freq from f_1200 to: f_2200
38421 1 -Switched Freq from f_2200 to: f_1200
38509 2 -Switched Freq from f_1200 to: f_2200
38547 1 -Switched Freq from f_2200 to: f_1200
38671 3 -Switched Freq from f_1200 to: f_2200
38860 5 -Switched Freq from f_2200 to: f_1200
38987 3 -Switched Freq from f_1200 to: f_2200
39146 4 -Switched Freq from f_2200 to: f_1200
39190 1 -Switched Freq from f_1200 to: f_2200
39307 3 -Switched Freq from f_2200 to: f_1200
39431 3 -Switched Freq from f_1200 to: f_2200
39501 2 -Switched Freq from f_2200 to: f_1200
39548 1 -Switched Freq from f_1200 to: f_2200
39634 2 -Switched Freq from f_2200 to: f_1200
39664 1 -Switched Freq from f_1200 to: f_2200
39701 1 -Switched Freq from f_2200 to: f_1200
39747 1 -Switched Freq from f_1200 to: f_2200
39878 3 -Switched Freq from f_2200 to: f_1200
39948 2 -Switched Freq from f_1200 to: f_2200
39988 1 -Switched Freq from f_2200 to: f_1200
40270 7 -Switched Freq from f_1200 to: f_2200
40313 1 -Switched Freq from f_2200 to: f_1200
40583 7 -Switched Freq from f_1200 to: f_2200
40637 1 -Switched Freq from f_2200 to: f_1200
40907 7 -Switched Freq from f_1200 to: f_2200
40944 1 -Switched Freq from f_2200 to: f_1200
Done!?!
Total Number of unique packets decoded: 0
Total Number of duplicate packets decoded: 0
