No PTT port
decay = 1.444046e-05
samples per bit = 40.000
Filter for de-emphasis of 3dB is not availabe, using 6dB
Available filter length 40
Available filter length 80
Filter length 32 not supported, using length 80
Callsign in test packet is: kk6bqj
Trying to decode packets from <./audio/nonOfficialRecordings/ot3test4800Mono1Packet.wav>
Audio rate is 48000, 1 channels, 2 bytes per frame, 16 bits per sample
8479 1 -Switched Freq from f_2200 to: f_1200
8549 2 -Switched Freq from f_1200 to: f_2200
8586 1 -Switched Freq from f_2200 to: f_1200
8633 1 -Switched Freq from f_1200 to: f_2200
8719 2 -Switched Freq from f_2200 to: f_1200
8789 2 -Switched Freq from f_1200 to: f_2200
8919 3 -Switched Freq from f_2200 to: f_1200
8989 2 -Switched Freq from f_1200 to: f_2200
9072 2 -Switched Freq from f_2200 to: f_1200
9225 4 -Switched Freq from f_1200 to: f_2200
9305 2 -Switched Freq from f_2200 to: f_1200
9432 3 -Switched Freq from f_1200 to: f_2200
9545 3 -Switched Freq from f_2200 to: f_1200
9592 1 -Switched Freq from f_1200 to: f_2200
9632 1 -Switched Freq from f_2200 to: f_1200
9665 1 -Switched Freq from f_1200 to: f_2200
9718 1 -Switched Freq from f_2200 to: f_1200
9868 4 -Switched Freq from f_1200 to: f_2200
9998 3 -Switched Freq from f_2200 to: f_1200
10028 1 -Switched Freq from f_1200 to: f_2200
10184 4 -Switched Freq from f_2200 to: f_1200
10232 1 -Switched Freq from f_1200 to: f_2200
10271 1 -Switched Freq from f_2200 to: f_1200
10304 1 -Switched Freq from f_1200 to: f_2200
10358 1 -Switched Freq from f_2200 to: f_1200
10388 1 -Switched Freq from f_1200 to: f_2200
10471 2 -Switched Freq from f_2200 to: f_1200
10504 1 -Switched Freq from f_1200 to: f_2200
10704 5 -Switched Freq from f_2200 to: f_1200
10832 3 -Switched Freq from f_1200 to: f_2200
10870 1 -Switched Freq from f_2200 to: f_1200
10995 3 -Switched Freq from f_1200 to: f_2200
11157 4 -Switched Freq from f_2200 to: f_1200
11228 2 -Switched Freq from f_1200 to: f_2200
11310 2 -Switched Freq from f_2200 to: f_1200
11355 1 -Switched Freq from f_1200 to: f_2200
11470 3 -Switched Freq from f_2200 to: f_1200
11515 1 -Switched Freq from f_1200 to: f_2200
11583 2 -Switched Freq from f_2200 to: f_1200
11631 1 -Switched Freq from f_1200 to: f_2200
11790 4 -Switched Freq from f_2200 to: f_1200
11835 1 -Switched Freq from f_1200 to: f_2200
11876 1 -Switched Freq from f_2200 to: f_1200
11907 1 -Switched Freq from f_1200 to: f_2200
11943 1 -Switched Freq from f_2200 to: f_1200
11991 1 -Switched Freq from f_1200 to: f_2200
12076 2 -Switched Freq from f_2200 to: f_1200
12107 1 -Switched Freq from f_1200 to: f_2200
12143 1 -Switched Freq from f_2200 to: f_1200
12191 1 -Switched Freq from f_1200 to: f_2200
12276 2 -Switched Freq from f_2200 to: f_1200
12427 4 -Switched Freq from f_1200 to: f_2200
12482 1 -Switched Freq from f_2200 to: f_1200
12511 1 -Switched Freq from f_1200 to: f_2200
12549 1 -Switched Freq from f_2200 to: f_1200
