No PTT port
decay = 1.444046e-05
samples per bit = 40.000
Filter for de-emphasis of 3dB is not availabe, using 6dB
Available filter length 40
Available filter length 80
Filter length 32 not supported, using length 80
Callsign in test packet is: kk6bqj
Trying to decode packets from <./audio/nonOfficialRecordings/ot3test4800Mono1Packet.wav>
Audio rate is 48000, 1 channels, 2 bytes per frame, 16 bits per sample
36832 1 -Switched Freq from f_2200 to: f_1200
36944 3 -Switched Freq from f_1200 to: f_2200
37071 3 -Switched Freq from f_2200 to: f_1200
37144 2 -Switched Freq from f_1200 to: f_2200
37198 1 -Switched Freq from f_2200 to: f_1200
37227 1 -Switched Freq from f_1200 to: f_2200
37265 1 -Switched Freq from f_2200 to: f_1200
37391 3 -Switched Freq from f_1200 to: f_2200
37431 1 -Switched Freq from f_2200 to: f_1200
37503 2 -Switched Freq from f_1200 to: f_2200
37704 5 -Switched Freq from f_2200 to: f_1200
37790 2 -Switched Freq from f_1200 to: f_2200
37831 1 -Switched Freq from f_2200 to: f_1200
38023 5 -Switched Freq from f_1200 to: f_2200
38077 1 -Switched Freq from f_2200 to: f_1200
38107 1 -Switched Freq from f_1200 to: f_2200
38144 1 -Switched Freq from f_2200 to: f_1200
38190 1 -Switched Freq from f_1200 to: f_2200
38230 1 -Switched Freq from f_2200 to: f_1200
38303 2 -Switched Freq from f_1200 to: f_2200
38357 1 -Switched Freq from f_2200 to: f_1200
38386 1 -Switched Freq from f_1200 to: f_2200
38423 1 -Switched Freq from f_2200 to: f_1200
38510 2 -Switched Freq from f_1200 to: f_2200
38550 1 -Switched Freq from f_2200 to: f_1200
38663 3 -Switched Freq from f_1200 to: f_2200
38863 5 -Switched Freq from f_2200 to: f_1200
38990 3 -Switched Freq from f_1200 to: f_2200
39149 4 -Switched Freq from f_2200 to: f_1200
39182 1 -Switched Freq from f_1200 to: f_2200
39309 3 -Switched Freq from f_2200 to: f_1200
39422 3 -Switched Freq from f_1200 to: f_2200
39502 2 -Switched Freq from f_2200 to: f_1200
39549 1 -Switched Freq from f_1200 to: f_2200
39636 2 -Switched Freq from f_2200 to: f_1200
39666 1 -Switched Freq from f_1200 to: f_2200
39702 1 -Switched Freq from f_2200 to: f_1200
39749 1 -Switched Freq from f_1200 to: f_2200
39862 3 -Switched Freq from f_2200 to: f_1200
39949 2 -Switched Freq from f_1200 to: f_2200
39989 1 -Switched Freq from f_2200 to: f_1200
40273 7 -Switched Freq from f_1200 to: f_2200
3.00 NaN 0.00 [NOCALL>CQ:00149The quick brown fox jumps over the lazy dog]
Last Sample Count of Packet: 40273
[NOCALL>CQ:00149The quick brown fox jumps over the lazy dog]
Packet Count:1
40315 1 -Switched Freq from f_2200 to: f_1200
40585 7 -Switched Freq from f_1200 to: f_2200
40621 1 -Switched Freq from f_2200 to: f_1200
40909 7 -Switched Freq from f_1200 to: f_2200
40948 1 -Switched Freq from f_2200 to: f_1200
41232 7 -Switched Freq from f_1200 to: f_2200
41274 1 -Switched Freq from f_2200 to: f_1200
41545 7 -Switched Freq from f_1200 to: f_2200
41580 1 -Switched Freq from f_2200 to: f_1200
41868 7 -Switched Freq from f_1200 to: f_2200
41907 1 -Switched Freq from f_2200 to: f_1200
Done!?!
Total Number of unique packets decoded: 1
Total Number of duplicate packets decoded: 0
